,titulos,empresa,todas_salario,todos_local,url
9,Analista de Dados Júnior,COMPUTÉCNICA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior/24341952/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados Pleno,Empresa ConfidencialPor que?,"De R$ 7.001,00 a R$ 8.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24296160/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Dados Pleno,ANALYSIS MODELAGEM DE DADOS,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/23751176/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Dados Junior,BRASLAB,"De R$ 2.001,00 a R$ 3.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior/23987098/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista de Dados Sr,GRUPO MARISTA,A Combinar,Porto Alegre - RS (1),https://www.catho.com.br/vagas/analista-de-dados-sr/24218364/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Analista de Dados BI,MODAL 360,A Combinar,Barueri - SP (1),https://www.catho.com.br/vagas/analista-de-dados-bi/23868894/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Dados BI,Modal Gestão e Treinamentos LTDA,"De R$ 3.001,00 a R$ 4.000,00",Barueri - SP (1),https://www.catho.com.br/vagas/analista-de-dados-bi/23867876/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Dados (PJ),Empresa ConfidencialPor que?,A Combinar,Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-dados-pj/23886264/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Dados SQL,EMFC CONSULTORIA,"De R$ 7.001,00 a R$ 8.000,00",Nova Lima - MG (1),https://www.catho.com.br/vagas/analista-de-dados-sql/24081618/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista de Dados - Economista,SINDILOJAS PORTO ALEGRE,A Combinar,Porto Alegre - RS (1),https://www.catho.com.br/vagas/analista-de-dados-economista/23803958/?origem_apply=busca-de-vagas&entrada_apply=direto
4,ANALISTA DE DADOS JUNIOR,CBA B+G,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior/23697830/?origem_apply=busca-de-vagas&entrada_apply=direto
5,ANALISTA DE DADOS SR,COGNA EDUCAÇÃO,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-sr/23239475/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados em Suprimentos,Hype Empreendimentos,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-dados-em-suprimentos/22985856/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados | Mercado,UNIFIQUE TELECOMUNICAÇÕES,A Combinar,Timbo - SC (1),https://www.catho.com.br/vagas/analista-de-dados-mercado/22426109/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de Dados - Pleno,ECOVITA INCORPORADORA,A Combinar,Bauru - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/23651238/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Dados jr,RS soluções,"De R$ 2.001,00 a R$ 3.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-jr/23582110/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados Financeiros,LOTÉRICA CHACAL,"De R$ 3.001,00 a R$ 4.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-financeiros/23546865/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Dados PL,Empresa ConfidencialPor que?,"De R$ 6.001,00 a R$ 7.000,00",Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados-pl/23451076/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Dados e Prestação de Contas,VINIL ENGENHARIA,"De R$ 4.001,00 a R$ 5.000,00",Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados-e-prestacao-de-contas/23819505/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista de Dados (Vaga afirmativa para mulheres),Cozimax Móveis de Aço Mirassol Ltda.,A Combinar,Mirassol - SP (1),https://www.catho.com.br/vagas/analista-de-dados-vaga-afirmativa-para-mulheres/24203825/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Dados,MUTANT,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24136681/?origem_apply=busca-de-vagas&entrada_apply=direto
1,ANALISTA DE DADOS,ADVANCE RH & CAPACITACION MANAGEMENT,"Até R$ 1.000,00",Maceio - AL (1),https://www.catho.com.br/vagas/analista-de-dados/24116613/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Dados I,SERASA EXPERIAN,A Combinar,São Carlos - SP (1),https://www.catho.com.br/vagas/analista-de-dados-i/24117074/?origem_apply=busca-de-vagas&entrada_apply=direto
3,ANALISTA DE DADOS,EMPREGARA,A Combinar,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/analista-de-dados/24109995/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Dados III,CECRED,A Combinar,Blumenau - SC (1),https://www.catho.com.br/vagas/analista-de-dados-iii/24123591/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Analista de Dados,EMPREGARA,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-dados/24120390/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados,Equilibra - Soluções Adm. E Trein. Geren. Ltda,A Combinar,São José do Rio Preto - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24127361/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados,EMPREGARA,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados/24113961/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de Dados,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24111887/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Dados,EMPREGARA,A Combinar,Blumenau - SC (1),https://www.catho.com.br/vagas/analista-de-dados/24117462/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados,EMPREGARA,A Combinar,Porto Alegre - RS (1),https://www.catho.com.br/vagas/analista-de-dados/24110681/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Dados,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24110174/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Dados,MAIDA HEALTH,A Combinar,Fortaleza - CE (1),https://www.catho.com.br/vagas/analista-de-dados/24094016/?origem_apply=busca-de-vagas&entrada_apply=direto
13,ANALISTA DE DADOS,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24092528/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Analista de Dados,UNIMED SÃO JOÃO DEL REI,A Combinar,São João Del Rei - MG (1),https://www.catho.com.br/vagas/analista-de-dados/24079742/?origem_apply=busca-de-vagas&entrada_apply=direto
